A,B,label
Mathematics,Inverse trigonometric functions,0
Plane curve,Geometry,1
Line (geometry),Transformation (function),0
Function composition,Even and odd functions,0
Base (exponentiation),Arithmetic,1
Binomial,Arithmetic,1
Mathematics,Empty sum,0
Associative property,Function (mathematics),0
Scalar (mathematics),Vector space,1
Circle,Quadratic equation,0
Partial fraction decomposition,Multiplication,1
Function (mathematics),Equation solving,0
Universal quantification,Existential quantification,0
Square root,Set (mathematics),0
Addition,Multiplication,0
Descartes' rule of signs,Rational root theorem,0
Arithmetic,Common logarithm,0
Rectangle,Mathematics,1
Perpendicular,Focus (geometry),0
Triangular matrix,Matrix (mathematics),1
Exponentiation,Algebraic expression,0
Inverse trigonometric functions,Trigonometry,1
Integer,Binomial coefficient,0
Open set,Real number,0
Set (mathematics),Real line,0
Secant line,Slope,0
Number,Quadratic formula,0
Trigonometric functions,Trigonometric substitution,0
Unit circle,Complex number,0
Law of sines,Perpendicular,0
Polynomial long division,Degree of a polynomial,1
Logarithm,E (mathematical constant),0
Geometry,Line–line intersection,0
Mathematics,Simultaneous equations,0
Cylinder (geometry),Mathematics,1
Commutative property,Subtraction,0
Determinant,Minor (linear algebra),0
Inverse trigonometric functions,Geometry,1
Circle,Real line,0
Number,Exponentiation,0
Secant line,Derivative,0
Linear equation,Geometry,1
Multiplication,Linear inequality,0
Amplitude,Sine wave,0
Point (geometry),Geometry,1
Polynomial,Mathematics,1
Descartes' rule of signs,Addition,1
Scalar multiplication,Number,1
Interval (mathematics),Real number,0
Real line,Rational number,1
Common logarithm,Mathematics,1
Curve,Cone,0
Natural logarithm,Inequality (mathematics),0
Addition,Number,1
Spherical law of cosines,Mathematics,1
Law of sines,Point (geometry),1
Binary logarithm,Number,1
Exponentiation,Fundamental theorem of algebra,0
Perpendicular,Parallel (geometry),0
Euclidean vector,Geometry,0
Equality (mathematics),System of linear equations,0
Square matrix,Elementary matrix,0
Number,Matrix multiplication,0
Square root,Algebraic expression,0
Limit of a function,Calculus,1
Logarithm,Scientific notation,0
Force,Work (physics),0
Cartesian coordinate system,Angle,1
Common logarithm,Base (exponentiation),1
Mathematics,Complex plane,0
Mathematics,Angle,0
Determinant,Main diagonal,0
Addition,Sum,0
Geometry,Trigonometry,0
Matrix (mathematics),Vector field,0
Equation,Parametric equation,0
Complex number,Number,1
Binomial,Binomial coefficient,0
Set (mathematics),Commutative property,0
Quadratic function,Graph of a function,0
Mathematics,Analytic geometry,0
Integer,Binomial,0
Number,Algebra,0
Degree (angle),Minute and second of arc,0
Geometry,Trigonometric tables,0
Geometry,Mathematics,1
Image (mathematics),Vector field,0
Angle,Right angle,0
Circle,Eccentricity (mathematics),0
Degree of a polynomial,Polynomial,1
Position (vector),Euclidean vector,1
Mathematics,Even and odd functions,0
Monotonic function,Mathematics,1
Mathematics,Real line,0
Periodic function,Mathematics,1
Mathematics,Line segment,0
Exponential growth,Function (mathematics),1
Range (statistics),Mathematics,1
Multiplication,Synthetic division,0
Algebraic operation,Algebra,1
Polar coordinate system,Geometry,1
Function (mathematics),Domain of a function,0
Mathematics,Binomial coefficient,0
Number,Cartesian coordinate system,0
Basis (linear algebra),Mathematics,1
Mathematics,Rectangle,0
Equation,Inequality (mathematics),0
Polynomial,Equation,0
Equation solving,Number,1
Addition,Integer,0
Triangle,Point (geometry),1
Addition,Binomial theorem,0
Mathematics,Product (mathematics),0
Polynomial long division,Polynomial,1
Polygon,Solution of triangles,0
Vector field,Real number,0
Addition,Rational root theorem,0
Complex number,Multiplicative inverse,0
Linear inequality,Mathematics,1
Natural number,Set-builder notation,0
Fundamental theorem of algebra,Mathematics,1
Natural logarithm,Common logarithm,0
Scientific notation,Base (exponentiation),0
Logarithm,Sine,0
Circle,Circular motion,0
Mathematics,Geometric series,0
Real number,Complex conjugate,0
Polynomial long division,Number,1
Rational function,Real number,0
Solution of triangles,Angle,1
Trigonometry,Sine,0
Cone,Mathematics,1
Law of sines,Area,0
Geometry,Radius,0
Mathematics,Algebraic expression,0
Square (algebra),Square root,0
Algebraic equation,Number,1
Arithmetic,Formula,0
Equation,Linear inequality,0
Perpendicular,Cone,0
Equality (mathematics),Algebraic equation,0
Base (exponentiation),Number,1
Linear function,Analytic geometry,0
Mathematics,Synthetic division,0
Trigonometric substitution,Trigonometric functions,1
Nth root,Square root,0
Multiplication,Multiplicative inverse,0
Algebraic expression,Polynomial,1
Monomial,Change of variables,0
Line segment,Right triangle,0
Multiplication,Binomial coefficient,0
Square matrix,Identity matrix,0
Sine,Cartesian coordinate system,0
Rational number,Sine,0
Identity matrix,Elementary matrix,0
Range (statistics),Image (mathematics),0
Radius,Line (geometry),1
Line (geometry),Equation,0
Mathematics,Base (exponentiation),0
Mathematics,Trigonometric substitution,0
Sine,Sine wave,0
Dot product,Multiplication,1
Integer,Binomial theorem,0
Linear function,Equation,0
Equality (mathematics),Linear equation,0
Real line,Mathematics,1
Cross product,Number,1
Asymptote,Polynomial long division,0
Geometry,Pythagorean trigonometric identity,0
Geometric series,Calculus,1
Scalar multiplication,Multiplication,1
Circular motion,Geometry,1
Circular sector,Mathematics,1
Number,Extended real number line,0
Matrix ring,Number,1
Number,Factorization,0
Parametric equation,Mathematics,1
Angle,Analytic geometry,0
Calculus,Linear function,0
Maxima and minima,Real number,0
Mathematics,Circle,0
Addition,Binomial,0
Quadratic formula,Quadratic equation,1
E (mathematical constant),Base (exponentiation),0
Limit (mathematics),Work (physics),0
Product topology,Arithmetic,1
Expression (mathematics),Mathematics,1
Algebraic expression,Rational number,0
Number,Distributive property,0
Division (mathematics),Number,1
Common logarithm,Multiplication,1
Addition,Homogeneous polynomial,0
Natural number,Real number,0
Function (mathematics),Even and odd functions,0
Synthetic division,Integer,1
Inequality (mathematics),Equation,1
Equality (mathematics),Mathematics,1
Line (geometry),Cone,0
Number,Addition,0
Geometry,Inverse trigonometric functions,0
Real number,Domain of a function,0
Polynomial long division,Division (mathematics),1
Matrix multiplication,Vector (mathematics and physics),0
Sine wave,Sine,1
Commutative property,Function (mathematics),0
Transformation (function),Geometry,0
Line segment,Cylinder (geometry),0
Range (statistics),Domain of a function,0
Rationalisation (mathematics),Nth root,0
Trigonometry,Law of sines,0
Square root,Cartesian coordinate system,0
Number,Differential equation,0
Polynomial,Quadratic formula,0
Mathematics,Division by zero,0
Mathematics,Series (mathematics),0
Exponential function,Scientific notation,0
Real number,Closed set,0
Secant line,Calculus,0
Binomial theorem,Integer,1
Vertical line test,Function (mathematics),1
Exponentiation,Common logarithm,0
Scalar (mathematics),Real number,0
Mathematics,Formula,0
Binary logarithm,Base (exponentiation),1
Rational root theorem,Number,1
Exponential function,Exponentiation,1
Number,Common logarithm,0
Angle,Mathematics,1
Geometry,Trigonometric substitution,0
Complex number,Natural number,0
Plane (geometry),Polar coordinate system,0
Division (mathematics),Synthetic division,0
Real line,Number,1
Exponentiation,Set (mathematics),0
Integer,Degree of a polynomial,0
Subtraction,Arithmetic,1
Product (mathematics),Dot product,0
Right angle,Mathematics,1
Multiplication,Scientific notation,0
Number,Polar coordinate system,0
Solution of triangles,Mathematics,1
Integer,Set (mathematics),0
Exponential function,Logarithm,0
Minute and second of arc,Angle,0
Plane curve,Plane (geometry),1
Even and odd functions,Graph of a function,0
Exponentiation,Exponential growth,0
Function (mathematics),Real number,0
Pythagorean trigonometric identity,Pythagorean theorem,1
E (mathematical constant),Natural logarithm,0
Function (mathematics),Monotonic function,0
Quadratic equation,Mathematics,1
Equation,Differential equation,0
Geometry,Rotation of axes,0
Edge (geometry),Line segment,1
Vector (mathematics and physics),Calculus,0
Solution of triangles,Trigonometry,1
Function (mathematics),Inverse function,0
Polynomial,Multiplication,1
Square root,Square (algebra),1
Dependent and independent variables,Mathematics,1
Mathematics,Eccentricity (mathematics),0
Mathematics,Ellipse,0
Coordinate system,Rotation of axes,0
Matrix ring,Mathematics,1
Geometry,Perpendicular,0
Exponential function,Multiplication,1
Cubic function,Function (mathematics),1
Quadrant (plane geometry),Number,1
Polynomial,Homogeneous polynomial,0
Number,Coordinate system,0
Interval (mathematics),Empty set,0
Coordinate system,Equation,0
Number,System of linear equations,0
Cartesian coordinate system,Distance,1
Mathematics,Unit circle,0
Geometry,Line segment,0
Zero of a function,Mathematics,1
Exponentiation,Rational number,0
Semi-major axis,Work (physics),0
Number,Binomial,0
Arithmetic,Rational root theorem,0
Amplitude,Displacement (vector),0
Trigonometry,Inverse trigonometric functions,0
Exponentiation,Exponential function,0
Logarithm,Addition,0
Algebra,Algebraic expression,0
Secant line,Line (geometry),1
Exponentiation,Degree of a polynomial,0
Line (geometry),Conic section,0
Perpendicular,Cartesian coordinate system,0
Mathematics,Differential equation,0
Complex number,Identity (mathematics),0
Pythagorean theorem,Mathematics,1
Equation solving,Domain of a function,0
Addition,Matrix ring,0
Rational root theorem,Equation solving,1
Logarithm,Identity (mathematics),0
Mathematics,Cubic function,0
Mathematics,Identity (mathematics),0
Geometry,Orientation (geometry),0
Equation,System of linear equations,0
Square (algebra),Number,1
Perpendicular,Line (geometry),1
Mathematics,Logarithm,0
Geometry,Unit circle,0
Geometry,Circular motion,0
Open set,Set (mathematics),1
Rational root theorem,Rational number,1
Rotation (mathematics),Mathematics,1
Geometry,Rectangle,0
Quadratic equation,Nth root,0
Rotation of axes,Ellipse,0
Transformation (function),Coordinate system,0
Equation,Geometry,0
Mathematics,Cartesian coordinate system,0
Range (statistics),Limit (mathematics),0
Trigonometry,Pythagorean trigonometric identity,0
Integer,Algebraic expression,0
Mathematics,Rotation (mathematics),0
Algebraic expression,Arithmetic,1
Prime number,Polynomial long division,0
Polynomial,Rational root theorem,0
Minor (linear algebra),Matrix (mathematics),1
Linear function,Mathematics,1
Complex number,Subtraction,0
Radius,Geometry,1
Floor and ceiling functions,Binomial coefficient,0
Vertical line test,Geometry,1
Synthetic division,Factorization,0
Binomial theorem,Polynomial,1
Matrix (mathematics),Vector (mathematics and physics),0
Parallel (geometry),Line (geometry),1
Polynomial,Addition,1
Matrix (mathematics),Square matrix,0
Multiplication,Empty set,0
Sign (mathematics),Inverse element,0
Synthetic division,Mathematics,1
Negative number,Subtraction,0
Binomial,Number,1
Perpendicular,Analytic geometry,0
Circular sector,Curve,1
Radius,Line segment,1
Linear equation,Line (geometry),1
Natural logarithm,E (mathematical constant),1
Zero of a function,Graph of a function,0
Circle,Conic section,0
Parity (mathematics),Square (algebra),0
Imaginary number,Real number,1
Coordinate system,Vector field,0
Binary number,Number,1
Line segment,Transformation (function),0
Arithmetic,Product (mathematics),0
Distance,Cartesian coordinate system,0
Right angle,Angle,1
Symmetry,Geometry,0
Binary logarithm,Common logarithm,0
Integer,Function (mathematics),0
Matrix ring,Addition,1
Ellipse,Curve,1
Binomial coefficient,Binomial theorem,1
Edge (geometry),Line (geometry),1
Geometry,Sine,0
Angle,Solution of triangles,0
Linear equation,Graph of a function,0
Geometry,Line (geometry),0
Triangle,Geometry,1
Equation,Algebraic equation,0
Addition,Equation,0
Infinity,Limit (mathematics),0
Polynomial,Integer,1
Vector (mathematics and physics),Position (vector),0
Law of sines,Spherical law of cosines,0
Number,Product (mathematics),0
Partial fraction decomposition,Polynomial long division,0
Linear equation,Change of variables,0
Cartesian coordinate system,Perpendicular,1
Polynomial,Fundamental theorem of algebra,0
Base (exponentiation),Common logarithm,0
Geometry,Eccentricity (mathematics),0
Domain of a function,Cartesian coordinate system,0
Polynomial,Linear function,0
Mathematics,Arithmetic mean,0
Function (mathematics),Limit of a function,0
Fundamental theorem of algebra,Real number,1
Algebraic expression,Subtraction,0
Equality (mathematics),Identity (mathematics),0
Cross product,Real number,0
Division (mathematics),Real number,0
Number,Linear inequality,0
Mathematics,Summation,0
Multiplication,Commutative property,0
Linear function,Derivative,0
Multiplication,Binary logarithm,0
Logarithm,Natural number,0
Cone,Geometry,1
Linear equation,Complex number,0
Norm (mathematics),Vector (mathematics and physics),1
Empty sum,Summation,1
Transformation (function),Circle,0
Graph of a function,Vertical line test,0
Integer,Rational number,0
Trigonometric tables,Trigonometry,1
Associative property,Real number,0
Equation solving,Empty set,0
Cross product,Arithmetic,1
Binary logarithm,Arithmetic,1
Point (geometry),Chord (geometry),0
Prime number,Binary logarithm,0
Product (mathematics),Arithmetic,1
Equality (mathematics),Equation,0
Mathematics,Product topology,0
Binomial theorem,Mathematics,1
Line segment,Solution of triangles,0
Division (mathematics),Inequality (mathematics),0
Matrix multiplication,Main diagonal,0
Trigonometry,Mathematics,1
Trigonometry,Trigonometric tables,0
Number,Algebraic operation,0
Complex number,Division (mathematics),0
Unit circle,Curve,1
Law of sines,Circle,0
Arithmetic,Exponential function,0
Injective function,Inverse function,0
Trigonometric tables,Geometry,1
Right triangle,Geometry,1
Number,Division by zero,0
Polygon,Mathematics,1
Mathematics,Transformation (function),0
Function (mathematics),Inverse trigonometric functions,0
Trigonometric tables,Mathematics,1
Pythagorean theorem,Inverse trigonometric functions,0
Associative property,Addition,0
Matrix (mathematics),Matrix multiplication,0
Algebraic expression,Real number,0
Rational number,Equation solving,0
Plane (geometry),Plane curve,0
Geometric progression,Geometry,0
Scalar multiplication,Elementary matrix,0
Mathematics,Piecewise,0
Exponentiation,Cartesian coordinate system,0
Multiplication,Polynomial,0
Linear equation,Vertical line test,0
E (mathematical constant),Real number,0
Equation solving,Equality (mathematics),1
Mathematics,Multiplicative inverse,0
Function (mathematics),Inequality (mathematics),0
Even and odd functions,Function (mathematics),1
Complex number,Set (mathematics),0
Circle,Line (geometry),1
Division by zero,Division (mathematics),1
Identity (mathematics),Mathematics,1
Interval (mathematics),Closed set,0
Analytic geometry,Geometry,1
Coordinate system,Number,1
Equation,Function (mathematics),0
Integer,Natural number,0
Matrix (mathematics),Matrix ring,0
Binomial,Calculus,0
Cross product,Mathematics,1
Sum,Arithmetic,1
Multiplication,Product (mathematics),0
Exponentiation,Identity (mathematics),0
Arithmetic,Matrix ring,0
Floor and ceiling functions,Series (mathematics),0
Real number,Graph of a function,0
Geometry,Origin (mathematics),0
Polynomial,Binomial,0
Degree of a polynomial,Polynomial long division,0
Mathematics,Exponential function,0
Number,Cross product,0
Complex number,Rational number,0
Absolute value,Real number,1
Work (physics),Calculus,0
Associative property,Exponentiation,0
Mathematics,Sine,0
Matrix (mathematics),Determinant,0
Cartesian coordinate system,Number,1
Function (mathematics),Transformation (function),0
Number,Multiplication,0
Mathematics,Mathematical proof,0
Associative property,Algebraic expression,0
Chord (geometry),Curve,1
Mathematics,Calculus,0
Product (mathematics),Cross product,0
E (mathematical constant),Number,1
Exponentiation,Binary logarithm,0
Exponentiation,Number,1
Rational number,Rational root theorem,0
Mathematics,Operation (mathematics),0
Plane (geometry),Complex plane,0
Graph of a function,Quadrant (plane geometry),0
Limit (mathematics),Limit of a function,0
Partial fraction decomposition,Integer,1
Multiplication,Scalar multiplication,0
Fundamental theorem of algebra,Equation,1
Addition,Inequality (mathematics),0
Inverse function,Change of variables,0
Plane curve,Asymptote,0
Hyperbola,Rotation of axes,0
Descartes' rule of signs,Real number,0
Number,Absolute value,0
Set (mathematics),Set-builder notation,0
Differential equation,Equality (mathematics),1
Analytic geometry,Plane (geometry),1
Geometry,Linear equation,0
Complex number,Equation,0
Square root,Pythagorean theorem,0
Binary logarithm,Exponentiation,1
Number,Parametric equation,0
Set (mathematics),Equation solving,0
Point (geometry),Solution of triangles,0
Invertible matrix,Matrix (mathematics),1
Addition,Algebraic expression,0
Complex number,Commutative property,0
Pythagorean theorem,Rational number,0
Binary logarithm,Scientific notation,0
Complex number,Rational function,0
Product topology,Product (mathematics),1
Semi-major axis,Hyperbola,0
Line segment,Spherical law of cosines,0
Arithmetic,Arithmetic mean,0
Polynomial,Zero of a function,0
Multiplication,Rational root theorem,0
Addition,Arithmetic,1
Set (mathematics),Closed set,0
Exponential growth,Mathematics,1
Inverse element,Sign (mathematics),1
Rational root theorem,Arithmetic,1
Secant line,Interval (mathematics),0
Quadrant (plane geometry),Mathematics,1
System of linear equations,Geometry,1
Vector field,Derivative,0
Ellipse,Line (geometry),1
Complex number,Complex conjugate,0
Matrix multiplication,Arithmetic,1
Mathematics,Exponentiation,0
Number,Natural logarithm,0
Euclidean vector,Position (vector),0
Eccentricity (mathematics),Circle,1
Spherical law of cosines,Trigonometry,1
Force,Simple harmonic motion,0
Polynomial long division,Rational root theorem,0
Rational number,E (mathematical constant),0
Linear inequality,Algebra,1
Addition,Degree of a polynomial,0
Solution of triangles,Line segment,1
System of linear equations,Equation,1
Calculus,Limit of a function,0
Unit circle,Line (geometry),1
Function (mathematics),Injective function,0
Hyperbola,Cone,0
Mathematics,Curve,0
Geometry,Right angle,0
Natural logarithm,Mathematics,1
Square root,Function (mathematics),0
Polygon,Point (geometry),1
Square root,Geometry,0
Curve,Eccentricity (mathematics),0
Number,Base (exponentiation),0
Number,Basis (linear algebra),0
Triangle,Mathematics,1
Square root,Quadratic function,0
Function (mathematics),Dependent and independent variables,0
Set-builder notation,Real number,0
Exponentiation,Function (mathematics),0
Number,Rational number,0
Function (mathematics),Constant function,0
Multiplication,Number,1
Mathematics,Radius,0
Open set,Interval (mathematics),0
Function composition,Function (mathematics),1
Quadratic equation,Negative number,0
Mathematics,Homogeneous polynomial,0
Circle,Rational number,0
Linear equation,Equality (mathematics),1
Square (algebra),Mathematics,1
Algebraic expression,Addition,1
Polynomial long division,Addition,1
Addition,Elementary matrix,0
Mathematics,Square root,0
Division by zero,Number,1
Logarithm,Complex number,0
Exponential function,Real number,0
Asymptote,Curve,1
Circle,Chord (geometry),0
Number,Binary number,0
Negative number,Distance,0
Circle,Cone,0
Number,Binary logarithm,0
Algebraic expression,E (mathematical constant),0
Linear equation,Number,1
Natural logarithm,Multiplication,1
Polynomial,Real number,0
Degree of a polynomial,Algebraic expression,0
Quadratic equation,Equality (mathematics),1
Line segment,Polygon,0
Equality (mathematics),Fundamental theorem of algebra,0
Scientific notation,E (mathematical constant),0
Algebraic expression,Square (algebra),1
Mathematics,Floor and ceiling functions,0
Analytic geometry,Equality (mathematics),1
Integer,Polynomial long division,0
Right angle,Right triangle,0
Set (mathematics),Distance,0
Circle,Curve,1
Number,Binomial theorem,0
Arithmetic,Quadratic formula,0
Point (geometry),Origin (mathematics),0
Square root,Quadratic equation,0
Binomial coefficient,Addition,1
Open set,Domain of a function,0
Arithmetic,Binary logarithm,0
Polynomial long division,Factorization,0
Multiplication,Dot product,0
Natural logarithm,Logarithm,1
Mathematics,Descartes' rule of signs,0
Sine wave,Trigonometry,1
Algebra,Square root,0
Polynomial,Degree of a polynomial,0
Natural number,Negative number,0
Algebraic operation,Mathematics,1
Factorization,Arithmetic,1
Mathematics,Constant function,0
Differential equation,Equation,1
Multiplication,Real line,0
Natural number,Rational number,0
Square root,Inverse trigonometric functions,0
Square root,Algebra,1
Line (geometry),Vertical line test,0
Number,Equation solving,0
Fundamental theorem of algebra,Addition,1
Basis (linear algebra),Algebra,1
Synthetic division,Number,1
Polynomial,Partial fraction decomposition,0
Function (mathematics),Zero of a function,0
Rational root theorem,Integer,1
Base (exponentiation),Binary logarithm,0
Partial fraction decomposition,Mathematics,1
Imaginary number,Square (algebra),0
Parallel (geometry),Slope,0
Algebra,Algebraic operation,0
Exponentiation,Natural number,0
Interval (mathematics),Analytic geometry,0
Absolute value,Number,1
Eccentricity (mathematics),Cone,1
Mathematics,Trigonometric functions,0
Zero (complex analysis),Number,1
Multiplication,Equation,0
Arithmetic,Base (exponentiation),0
Linear function,Function (mathematics),1
Division (mathematics),Polynomial long division,0
Addition,Geometry,0
Linear equation,Real number,0
Inequality (mathematics),Linear inequality,0
Mathematics,Conic section,0
Equation,Real number,0
Set (mathematics),Empty set,0
Cartesian coordinate system,Mathematics,1
Exponential function,Identity (mathematics),0
Exponential growth,Exponentiation,1
Piecewise,Function (mathematics),1
Quadratic formula,Multiplication,1
Scalar multiplication,Vector (mathematics and physics),1
Degree of a polynomial,Synthetic division,0
Inequality (mathematics),Algebra,1
Equation solving,Rational root theorem,0
Geometry,Closed set,0
Prime number,Floor and ceiling functions,0
Parallel (geometry),Mathematics,1
Addition,Division (mathematics),0
Matrix ring,Matrix (mathematics),1
Sign (mathematics),Real number,0
Simultaneous equations,Equality (mathematics),1
Real number,Number,1
Complex number,Natural logarithm,0
Line (geometry),Right triangle,0
Inverse function,Function (mathematics),1
Degree of a polynomial,Integer,1
Number,Quadratic equation,0
Degree of a polynomial,Multiplicative inverse,0
Constant function,Slope,0
Rotation of axes,Number,1
Cartesian coordinate system,Geometry,1
Negative number,Rational number,0
Exponentiation,Scientific notation,0
Summation,Empty sum,0
Real number,Zero (complex analysis),0
Common logarithm,Scientific notation,0
Extended real number line,Number,1
Pythagorean trigonometric identity,Mathematics,1
Real number,Square root,0
Closed set,Set (mathematics),1
Addition,Partial fraction decomposition,0
Triangle,Solution of triangles,0
Polynomial,Binomial theorem,0
Mathematics,Monotonic function,0
Asymptote,Vertical line test,0
Unit circle,Sine,0
Mathematics,Interval (mathematics),0
Mathematics,Scalar multiplication,0
Equality (mathematics),Analytic geometry,0
Calculus,Series (mathematics),0
Real number,Distributive property,0
Sum,Addition,1
Mathematics,Perpendicular,0
Line segment,Triangle,0
Function (mathematics),Range (statistics),0
Associative property,Set (mathematics),0
Plane (geometry),Geometry,1
Rational function,Function (mathematics),1
Line (geometry),Circle,0
Perpendicular,Slope,0
Circular motion,Circle,1
Complex number,Imaginary number,0
Cone,Ellipse,0
Polynomial,Nth root,0
Open set,Empty set,0
Eccentricity (mathematics),Conic section,1
Radius,Point (geometry),1
Common logarithm,Logarithm,1
Fundamental theorem of algebra,Number,1
Displacement (vector),Calculus,0
Subtraction,Number,1
Rational number,Real line,0
Analytic geometry,Angle,1
Constant function,Domain of a function,0
Arithmetic mean,Mathematics,1
Zero of a function,Domain of a function,1
Number,Dot product,0
Spherical law of cosines,Trigonometric functions,1
Function (mathematics),Function composition,0
