A,B,Label
Polyhedron,Diagonal,0
Reflection symmetry,Point (geometry),1
Parallelogram,Rectangle,0
Face (geometry),Plane (geometry),0
Parallelogram,Line segment,1
Collinearity,Midpoint,0
Right triangle,Diameter,0
Circumference,Distance,0
Arc (geometry),Diameter,0
Rhombus,Geometry,1
Cartesian coordinate system,Angle,1
Parallel (geometry),Circle,0
Perpendicular,Chord (geometry),0
Point (geometry),Transversal (geometry),0
Tangent,Isosceles triangle,0
Angle,Transversal (geometry),0
Equilateral triangle,Line (geometry),1
Trapezoid,Line (geometry),1
Line (geometry),Rectangle,0
Bisection,Line segment,1
Geometry,Pentagon,0
Right angle,Rectangle,0
Rectangle,Translation (geometry),0
Similarity (geometry),Circle,0
Congruence (geometry),Vertex (geometry),1
Right angle,Triangle,0
Point (geometry),Decagon,0
Line (geometry),Angle bisector theorem,0
Exterior angle theorem,Midpoint,0
Square,Symmetry,0
Perpendicular,Angle bisector theorem,0
Symmetry,Geometry,1
Angle,Right angle,0
Prism (geometry),Distance,0
Midpoint,Angle,0
Line (geometry),Midpoint,0
Heptagon,Polygon,1
Square,Octagon,0
Radius,Sphere,0
Diameter,Line (geometry),1
Line segment,Rhombus,0
Point (geometry),Tangent,0
Point (geometry),Diameter,0
Rectangle,Polygon,1
Bisection,Diagonal,0
Polygon,Angle,1
Prism (geometry),Line (geometry),1
Symmetry,Rotational symmetry,0
Collinearity,Tangent,0
Diagonal,Edge (geometry),1
Line (geometry),Tangent,0
Triangle,Point (geometry),1
Triangle inequality,Line (geometry),1
Angle,Trigonometric functions,0
Circle,Decagon,0
Vertex (geometry),Triangle inequality,0
Polygon,Nonagon,0
Geometry,Tangent,0
Acute and obtuse triangles,Edge (geometry),1
Triangle,Equilateral triangle,0
Angle,Square,0
Triangle,Triangle inequality,0
Vertex (geometry),Parallelogram,0
Line segment,Congruence (geometry),0
Triangle,Pythagorean theorem,0
Edge (geometry),Pythagorean triple,0
Line segment,Inverse trigonometric functions,0
Collinearity,Altitude (triangle),0
Line segment,Quadrilateral,0
Pentagon,Diagonal,0
Bisection,Parallelogram,0
Two-dimensional space,Coordinate system,0
Trigonometric functions,Tangent,0
Dodecagon,Geometry,1
Hendecagon,Line (geometry),1
Geometry,Radius,0
Rotation (mathematics),Space (mathematics),0
Rotation (mathematics),Rotational symmetry,0
Angle,Acute and obtuse triangles,0
Diameter,Distance,0
Transversal (geometry),Congruence (geometry),0
Pythagorean theorem,Isosceles triangle,0
Decagon,Line segment,1
Line segment,Right triangle,0
Edge (geometry),Point (geometry),1
Dodecagon,Hexagon,0
Point (geometry),Rotational symmetry,0
Sine,Cartesian coordinate system,0
Pythagorean theorem,Point (geometry),1
Edge (geometry),Star polygon,0
Radius,Line (geometry),1
Convex polygon,Angle,1
Sphere,Polyhedron,0
Trigonometric functions,Right triangle,0
Polygon,Hexagon,0
Square,Circle,0
Tangent,Triangle,1
Geometry,Hendecagon,0
Heptagon,Edge (geometry),1
Rectangle,Vertex (geometry),1
Reflection symmetry,Perpendicular,0
Reflection symmetry,Rotational symmetry,0
Point (geometry),Vertex (geometry),0
Prism (geometry),Parallelogram,0
Rotation (mathematics),Point (geometry),1
Rigid transformation,Line (geometry),1
Collinearity,Distance,0
Rhombus,Line segment,1
Polygon,Pentagon,0
Kite (geometry),Quadrilateral,1
Vertex (geometry),Point (geometry),1
Parallelogram,Tessellation,0
Geometry,Bisection,0
Right triangle,Tangent,0
Angle,Circumference,0
Sine,Line segment,1
Tangent,Edge (geometry),1
Edge (geometry),Convex polygon,0
Pythagorean theorem,Rigid transformation,0
Pyramid (geometry),Line (geometry),1
Two-dimensional space,Point (geometry),1
Polygon,Exterior angle theorem,0
Arc length,Circle,1
Point (geometry),Nonagon,0
Acute and obtuse triangles,Point (geometry),1
Two-dimensional space,Star polygon,0
Line (geometry),Square,0
Secant line,Chord (geometry),0
Acute and obtuse triangles,Pyramid (geometry),0
Midpoint,Angle bisector theorem,0
Line (geometry),Radius,0
Acute and obtuse triangles,Tangent,0
Prism (geometry),Line segment,1
Line segment,Octagon,0
Vertex (geometry),Internal and external angle,0
Point (geometry),Hendecagon,0
Geometry,Inverse trigonometric functions,0
Point (geometry),Angle,0
Line segment,Cylinder (geometry),0
Line segment,Similarity (geometry),0
Geometry,Special right triangles,0
Hexagon,Angle,1
Polyhedron,Vertex (geometry),1
Triangle inequality,Parallelogram,0
Plane (geometry),Skew lines,0
Plane (geometry),Coordinate system,0
Radius,Geometry,1
Equilateral triangle,Square,0
Parallel (geometry),Point (geometry),1
Similarity (geometry),Square,0
Angle,Hendecagon,0
Tessellation,Vertex (geometry),0
Angle bisector theorem,Sine,0
Prism (geometry),Parallel (geometry),1
Tessellation,Kite (geometry),0
Point (geometry),Rectangle,0
Angle bisector theorem,Edge (geometry),1
Pythagorean theorem,Altitude (triangle),0
Bisection,Line (geometry),1
Diagonal,Point (geometry),1
Concentric,Sphere,0
Altitude (triangle),Bisection,0
Square,Coordinate system,0
Parallelogram,Pythagorean theorem,0
Parallel (geometry),Distance,0
Edge (geometry),Inverse trigonometric functions,0
Cylinder (geometry),Concentric,0
Rotational symmetry,Cone,0
Geometry,Parallelogram,0
Decagon,Polygon,1
Pythagorean triple,Geometry,1
Pythagorean triple,Right angle,1
Special right triangles,Pythagorean theorem,0
Congruence (geometry),Geometry,1
Collinearity,Chord (geometry),0
Distance,Arc length,0
Similarity (geometry),Midpoint,0
Circle,Cone,0
Convex polygon,Pyramid (geometry),0
Geometry,Perpendicular,0
Angle bisector theorem,Triangle,1
Polygon,Pyramid (geometry),0
Point (geometry),Reflection symmetry,0
Pythagorean triple,Vertex (geometry),1
Triangle inequality,Geometry,1
Isosceles triangle,Line segment,1
Right triangle,Circle,0
Cartesian coordinate system,Distance,1
Angle,Circle,0
Similarity (geometry),Reflection (mathematics),0
Triangle,Sphere,0
Convex polygon,Kite (geometry),0
Diameter,Geometry,1
Midpoint,Line segment,1
Edge (geometry),Special right triangles,0
Tangent,Pyramid (geometry),0
Two-dimensional space,Sphere,0
Rectangle,Square,0
Face (geometry),Symmetry,0
Secant line,Line (geometry),1
Polyhedron,Polygon,1
Vertex (geometry),Inverse trigonometric functions,0
Perpendicular,Cartesian coordinate system,0
Circle,Diagonal,0
Dodecagon,Point (geometry),1
Triangle inequality,Pythagorean triple,0
Grade (slope),Angle,1
Pyramid (geometry),Angle,1
Sine,Edge (geometry),1
Edge (geometry),Sine,0
Line (geometry),Hexagon,0
Point (geometry),Coordinate system,0
Isosceles triangle,Vertex (geometry),1
Edge (geometry),Diagonal,0
Perpendicular,Line (geometry),1
Point (geometry),Convex polygon,0
Angle bisector theorem,Perpendicular,1
Triangle inequality,Right triangle,0
Similarity (geometry),Pythagorean triple,0
Pentagon,Vertex (geometry),1
Congruence (geometry),Sphere,0
Altitude (triangle),Tangent,0
Tangent,Polygon,1
Collinearity,Point (geometry),1
Cylinder (geometry),Coordinate system,0
Diameter,Kite (geometry),0
Congruence (geometry),Line segment,1
Geometry,Rectangle,0
Rectangle,Sphere,0
Diameter,Point (geometry),1
Point (geometry),Polyhedron,0
Square,Edge (geometry),1
Circle,Secant line,0
Diameter,Decagon,0
Prism (geometry),Polygon,1
Right angle,Trapezoid,0
Line segment,Internal and external angle,0
Line (geometry),Special right triangles,0
Rhombus,Line (geometry),1
Inverse trigonometric functions,Angle,1
Edge (geometry),Square,0
Congruence (geometry),Diameter,0
Pyramid (geometry),Scaling (geometry),0
Parallel (geometry),Line (geometry),1
Special right triangles,Triangle,1
Right triangle,Pythagorean triple,0
Special right triangles,Pythagorean triple,0
Tangent,Kite (geometry),0
Decagon,Angle,1
Line (geometry),Quadrilateral,0
Radius,Line segment,1
Edge (geometry),Decagon,0
Angle bisector theorem,Line segment,1
Line segment,Parallel (geometry),0
Exterior angle theorem,Angle,1
Perpendicular,Quadrilateral,0
Cone,Cartesian coordinate system,0
Arc length,Slope,0
Circle,Convex polygon,0
Point (geometry),Equilateral triangle,0
Distance,Cartesian coordinate system,0
Right angle,Angle,1
Circle,Radius,0
Heptagon,Geometry,1
Angle bisector theorem,Midpoint,1
Congruence (geometry),Isosceles triangle,0
Arc (geometry),Chord (geometry),0
Geometry,Sine,0
Square,Reflection symmetry,0
Geometry,Line (geometry),0
Triangle,Geometry,1
Inverse trigonometric functions,Pythagorean theorem,0
Hendecagon,Line segment,1
Circle,Polygon,0
Star polygon,Line segment,1
Cartesian coordinate system,Perpendicular,1
Edge (geometry),Face (geometry),0
Pentagon,Polygon,1
Hendecagon,Vertex (geometry),1
Geometry,Tessellation,0
Internal and external angle,Line segment,1
Coordinate system,Plane (geometry),1
Polyhedron,Angle,1
Vertex (geometry),Diagonal,0
Special right triangles,Vertex (geometry),1
Transversal (geometry),Internal and external angle,0
Midpoint,Trapezoid,0
Slope,Line (geometry),1
Two-dimensional space,Decagon,0
Midpoint,Isosceles triangle,0
Polyhedron,Prism (geometry),0
Geometry,Point (geometry),0
Cone,Geometry,1
Square,Pythagorean theorem,0
Plane (geometry),Tessellation,0
Triangle,Tessellation,0
Similarity (geometry),Self-similarity,0
Line segment,Cross section (geometry),0
Geometry,Rigid transformation,0
Polyhedron,Coordinate system,0
Star polygon,Angle,1
Parallelogram,Parallel (geometry),1
Pentagon,Rotational symmetry,0
Point (geometry),Chord (geometry),0
Polygon,Kite (geometry),0
Right triangle,Triangle,1
Trigonometric functions,Inverse trigonometric functions,0
Vertex (geometry),Hexagon,0
Angle,Space (mathematics),0
Line (geometry),Rhombus,0
Point (geometry),Sine,0
Geometry,Two-dimensional space,0
Reflection symmetry,Trapezoid,0
Diagonal,Angle,1
Right triangle,Geometry,1
Line (geometry),Distance,0
Quadrilateral,Square,0
Edge (geometry),Vertex (geometry),1
Translation (geometry),Rigid transformation,0
Polygon,Space (mathematics),0
Polyhedron,Reflection symmetry,0
Symmetry,Rhombus,0
Point (geometry),Congruence (geometry),0
Angle,Sine,0
Vertex (geometry),Isosceles triangle,0
Line segment,Kite (geometry),0
Vertex (geometry),Equilateral triangle,0
Geometry,Arc (geometry),0
Vertex (geometry),Exterior angle theorem,0
Line segment,Altitude (triangle),0
Symmetry,Rigid transformation,0
Nonagon,Angle,1
Rectangle,Line (geometry),1
Radius,Cartesian coordinate system,0
Collinearity,Rectangle,0
Polyhedron,Cross section (geometry),0
Triangle,Trigonometric functions,0
Perpendicular,Isosceles triangle,0
Vertex (geometry),Square,0
Edge (geometry),Hexagon,0
Angle,Equilateral triangle,0
Radius,Polygon,0
Triangle inequality,Distance,0
Geometry,Quadrilateral,0
Triangle,Acute and obtuse triangles,0
Diameter,Perpendicular,0
Bisection,Isosceles triangle,0
Symmetry,Trapezoid,0
Geometry,Reflection (mathematics),0
Isosceles triangle,Equilateral triangle,0
Square,Right angle,1
Point (geometry),Special right triangles,0
Pentagon,Angle,1
Parallel (geometry),Square,0
Angle,Special right triangles,0
Pythagorean theorem,Parallelogram,0
Rigid transformation,Point (geometry),1
Triangle,Hexagon,0
Triangle,Plane (geometry),0
Line (geometry),Collinearity,0
Reflection symmetry,Symmetry,1
Line (geometry),Skew lines,0
Pyramid (geometry),Sphere,0
Exterior angle theorem,Edge (geometry),1
Geometry,Kite (geometry),0
Point (geometry),Rigid transformation,0
Special right triangles,Isosceles triangle,0
Decagon,Line (geometry),1
Coordinate system,Right angle,0
Pythagorean theorem,Perpendicular,0
Circle,Distance,0
Nonagon,Vertex (geometry),1
Bisection,Tangent,0
Polyhedron,Rhombus,0
Tessellation,Hexagon,0
Rhombus,Cone,0
Acute and obtuse triangles,Altitude (triangle),0
Triangle,Convex polygon,0
Edge (geometry),Tangent,0
Sphere,Circle,1
Rhombus,Circle,0
Symmetry,Quadrilateral,0
Collinearity,Sphere,0
Heptagon,Point (geometry),1
Line segment,Prism (geometry),0
Hexagon,Geometry,1
Pyramid (geometry),Edge (geometry),1
Cross section (geometry),Plane (geometry),1
Quadrilateral,Tessellation,0
Vertex (geometry),Geometry,1
Angle,Diagonal,0
Congruence (geometry),Line (geometry),1
Point (geometry),Diagonal,0
Nonagon,Point (geometry),1
Angle,Internal and external angle,0
Rotation (mathematics),Angle,1
Tangent,Distance,0
Point (geometry),Acute and obtuse triangles,0
Cartesian coordinate system,Point (geometry),1
Polygon,Concentric,0
Point (geometry),Octagon,0
Triangle inequality,Line segment,1
Angle,Tangent,0
Point (geometry),Line (geometry),0
Pentagon,Decagon,0
Geometry,Trapezoid,0
Bisection,Chord (geometry),0
Decagon,Point (geometry),1
Rotation (mathematics),Symmetry,1
Acute and obtuse triangles,Geometry,1
Pythagorean theorem,Rectangle,0
Pythagorean theorem,Line segment,1
Exterior angle theorem,Geometry,1
Symmetry,Prism (geometry),0
Exterior angle theorem,Point (geometry),1
Rectangle,Quadrilateral,1
Geometry,Concentric,0
Coordinate system,Distance,0
Angle,Quadrilateral,0
Altitude (triangle),Equilateral triangle,0
Vertex (geometry),Decagon,0
Perpendicular,Tangent,0
Rectangle,Internal and external angle,0
Square,Perpendicular,0
Geometry,Right angle,0
Rectangle,Pyramid (geometry),0
Polygon,Point (geometry),1
Vertex (geometry),Trigonometric functions,0
Line (geometry),Sphere,0
Midpoint,Coordinate system,0
Line segment,Convex polygon,0
Radius,Distance,0
Triangle,Edge (geometry),1
Angle,Rigid transformation,0
Triangle,Similarity (geometry),0
Line segment,Pyramid (geometry),0
Tangent,Point (geometry),1
Point (geometry),Circle,0
Vertex (geometry),Special right triangles,0
Reflection (mathematics),Symmetry,1
Reflection symmetry,Kite (geometry),0
Pyramid (geometry),Triangle,0
Pyramid (geometry),Geometry,1
Geometry,Self-similarity,0
Quadrilateral,Line (geometry),1
Bisection,Perpendicular,1
Face (geometry),Square,0
Tangent,Trigonometric functions,1
Circle,Chord (geometry),0
Kite (geometry),Vertex (geometry),1
Tessellation,Plane (geometry),1
Line segment,Polygon,0
Diameter,Bisection,0
Line segment,Rectangle,0
Line (geometry),Right angle,0
Rotational symmetry,Scale factor,0
Equilateral triangle,Polygon,1
Square,Parallel (geometry),1
Right angle,Right triangle,0
Congruence (geometry),Distance,0
Concentric,Equilateral triangle,0
Congruence (geometry),Reflection (mathematics),0
Geometry,Equilateral triangle,0
Circle,Acute and obtuse triangles,0
Geometry,Dodecagon,0
Triangle,Pythagorean triple,0
Trigonometric functions,Circle,0
Rhombus,Congruence (geometry),0
Square,Acute and obtuse triangles,0
Congruence (geometry),Tessellation,0
Inverse trigonometric functions,Triangle,1
Line (geometry),Parallelogram,0
Acute and obtuse triangles,Line segment,1
Angle,Pythagorean triple,0
Pythagorean theorem,Trigonometric functions,0
Trigonometric functions,Line segment,1
Rigid transformation,Distance,0
Circle,Sphere,0
Line segment,Polyhedron,0
Convex polygon,Trapezoid,0
Special right triangles,Line (geometry),1
Rhombus,Polygon,1
Rotation (mathematics),Reflection (mathematics),0
Cylinder (geometry),Angle,0
Rectangle,Bisection,0
Rotation (mathematics),Cartesian coordinate system,0
Point (geometry),Bisection,0
Skew lines,Line (geometry),1
Edge (geometry),Octagon,0
Line (geometry),Diagonal,0
Sine,Line (geometry),1
Point (geometry),Sphere,0
Octagon,Edge (geometry),1
Exterior angle theorem,Triangle,1
Grade (slope),Point (geometry),1
Similarity (geometry),Isosceles triangle,0
Hendecagon,Polygon,1
Tessellation,Polygon,0
Dodecagon,Line (geometry),1
Cross section (geometry),Cylinder (geometry),0
Pythagorean theorem,Two-dimensional space,0
Prism (geometry),Congruence (geometry),0
Rotational symmetry,Perpendicular,0
Trigonometric functions,Distance,0
Line (geometry),Polyhedron,0
Diameter,Chord (geometry),1
Line segment,Exterior angle theorem,0
Geometry,Rhombus,0
Quadrilateral,Edge (geometry),1
Point (geometry),Pythagorean triple,0
Rectangle,Edge (geometry),1
Transversal (geometry),Line (geometry),1
Chord (geometry),Diameter,0
Reflection (mathematics),Point (geometry),1
Geometry,Rotational symmetry,0
Line segment,Equilateral triangle,0
Dodecagon,Line segment,1
Collinearity,Triangle inequality,0
Edge (geometry),Heptagon,0
Inverse trigonometric functions,Point (geometry),1
Triangle,Circle,0
Trigonometric functions,Sine,0
Heptagon,Two-dimensional space,0
Quadrilateral,Convex polygon,0
Rhombus,Tangent,0
Trigonometric functions,Similarity (geometry),0
Line (geometry),Right triangle,0
Geometry,Pythagorean theorem,0
Line segment,Hexagon,0
Edge (geometry),Rectangle,0
Internal and external angle,Edge (geometry),1
Polygon,Isosceles triangle,0
Two-dimensional space,Geometry,1
Radius,Diameter,0
Rotational symmetry,Rhombus,0
Similarity (geometry),Space (mathematics),0
Line (geometry),Equilateral triangle,0
Circle,Trapezoid,0
Octagon,Point (geometry),1
Geometry,Triangle inequality,0
Grade (slope),Distance,0
Octagon,Line (geometry),1
Polygon,Square,0
Angle,Coordinate system,0
Right angle,Point (geometry),1
Parallel (geometry),Slope,0
Dodecagon,Polygon,1
Prism (geometry),Polyhedron,1
Vertex (geometry),Angle bisector theorem,0
Transversal (geometry),Plane (geometry),1
Internal and external angle,Polygon,1
Line segment,Triangle,0
Similarity (geometry),Right triangle,0
Plane (geometry),Geometry,1
Line (geometry),Circle,0
Perpendicular,Slope,0
Rhombus,Trapezoid,0
Line (geometry),Trigonometric functions,0
Tangent,Arc length,0
Diagonal,Kite (geometry),0
Quadrilateral,Rectangle,0
Triangle inequality,Edge (geometry),1
Parallelogram,Face (geometry),0
Quadrilateral,Midpoint,0
Quadrilateral,Rhombus,0
Rectangle,Triangle,0
Geometry,Edge (geometry),0
Similarity (geometry),Rotation (mathematics),0
Exterior angle theorem,Sphere,0
Rotational symmetry,Equilateral triangle,0
Edge (geometry),Kite (geometry),0
Triangle inequality,Angle,1
Special right triangles,Right triangle,1
Line (geometry),Internal and external angle,0
Star polygon,Line (geometry),1
Edge (geometry),Altitude (triangle),0
Geometry,Slope,0
Point (geometry),Kite (geometry),0
Arc length,Tangent,0
Circle,Triangle,0
Pythagorean theorem,Similarity (geometry),0
Star polygon,Point (geometry),1
Right triangle,Sine,0
Midpoint,Right triangle,0
Plane (geometry),Cartesian coordinate system,0
Diameter,Sphere,0
Angle,Inverse trigonometric functions,0
Rigid transformation,Angle,1
Square,Angle,1
Geometry,Triangle,0
Quadrilateral,Hexagon,0
Line (geometry),Geometry,1
Line segment,Heptagon,0
Angle bisector theorem,Line (geometry),1
Translation (geometry),Coordinate system,0
Angle,Star polygon,0
Vertex (geometry),Pythagorean triple,0
Angle,Line (geometry),1
Arc (geometry),Plane (geometry),0
Angle,Reflection symmetry,0
Midpoint,Tangent,0
Vertex (geometry),Sine,0
Angle,Rotation (mathematics),0
Triangle inequality,Pythagorean theorem,0
Angle,Polygon,0
Square,Line (geometry),1
Line segment,Pythagorean theorem,0
Quadrilateral,Parallelogram,0
Line (geometry),Octagon,0
Polygon,Polyhedron,0
Polygon,Inverse trigonometric functions,0
Rhombus,Face (geometry),0
Congruence (geometry),Cartesian coordinate system,0
Face (geometry),Rhombus,0
Pyramid (geometry),Plane (geometry),0
Polygon,Convex polygon,0
Line segment,Distance,0
Two-dimensional space,Hendecagon,0
Bisection,Trapezoid,0
Point (geometry),Parallelogram,0
Congruence (geometry),Polygon,1
Square,Rectangle,1
Line segment,Radius,0
Vertex (geometry),Edge (geometry),0
Angle,Polyhedron,0
Line (geometry),Line segment,0
Skew lines,Parallel (geometry),1
Line segment,Line (geometry),1
Parallelogram,Rhombus,0
Trapezoid,Parallelogram,0
Trigonometric functions,Angle,1
Secant line,Tangent,0
Right angle,Perpendicular,0
Arc (geometry),Perpendicular,0
Geometry,Congruence (geometry),0
Pythagorean theorem,Right triangle,1
Rhombus,Rectangle,0
Congruence (geometry),Edge (geometry),1
Angle,Convex polygon,0
Triangle,Perpendicular,0
Parallel (geometry),Geometry,1
Rigid transformation,Symmetry,1
Rectangle,Symmetry,0
Pentagon,Convex polygon,0
Bisection,Point (geometry),1
Geometry,Circle,0
Similarity (geometry),Translation (geometry),0
Coordinate system,Arc length,0
Square,Line segment,1
Altitude (triangle),Congruence (geometry),0
Isosceles triangle,Triangle,1
Special right triangles,Rectangle,0
Square,Polygon,1
Convex polygon,Polygon,1
Point (geometry),Inverse trigonometric functions,0
Right angle,Line (geometry),1
Grade (slope),Sine,0
Angle,Vertex (geometry),0
Bisection,Midpoint,1
Rotation (mathematics),Geometry,1
Congruence (geometry),Coordinate system,0
Parallel (geometry),Rhombus,0
Right angle,Coordinate system,0
Coordinate system,Cartesian coordinate system,0
Edge (geometry),Rhombus,0
Reflection symmetry,Triangle,0
Equilateral triangle,Vertex (geometry),1
Pentagon,Dodecagon,0
Pythagorean theorem,Vertex (geometry),1
Kite (geometry),Line (geometry),1
Rhombus,Diagonal,0
Heptagon,Line segment,1
Hexagon,Vertex (geometry),1
Polygon,Parallelogram,0
Secant line,Geometry,1
Pythagorean theorem,Cone,0
Parallelogram,Congruence (geometry),0
Rhombus,Quadrilateral,1
Polygon,Two-dimensional space,0
Point (geometry),Pyramid (geometry),0
Right triangle,Point (geometry),1
Scaling (geometry),Scale factor,1
Rotational symmetry,Quadrilateral,0
Isosceles triangle,Edge (geometry),1
Plane (geometry),Two-dimensional space,0
Perpendicular,Congruence (geometry),0
Edge (geometry),Pythagorean theorem,0
Radius,Coordinate system,0
Polyhedron,Edge (geometry),1
Symmetry,Perpendicular,0
Geometry,Octagon,0
Angle,Sphere,0
Square,Geometry,1
Exterior angle theorem,Line segment,1
Point (geometry),Polygon,0
Similarity (geometry),Angle,0
